Displayname, ID, Highest Role, Join Date, Last Post Date
ChrisS,192008761425133569,Champion,4-5-2019,none
Rize,388711630441283585,Challenger,11-17-2019,none
Soggy,609138177659371531,Guardian,8-8-2019,none
Hexlocke,138616957669736448,Discord Admin,3-29-2016,4-26-2020
Karthos,120598805467889664,Friend,7-13-2019,none
omnitrix2009,113147687804645376,Demigod,3-24-2016,none
Sharkbun,421940366757986304,Challenger,12-3-2019,none
enobufs,303449946504429570,Challenger,1-18-2020,none
mowana,115777307309899785,Demigod,11-27-2016,none
OGSpaceCase,183670928054419458,Champion,1-5-2019,none
Dezi 🦄,299693438696423425,Avatar,5-7-2017,none
Nikua,277545720783831042,Champion,9-26-2018,none
Reek,227951476503216128,Explorer,4-8-2020,none
Vectus Valorian,579172614363414531,Explorer,3-11-2020,none
¯\_(ツ)_/¯,167473960836005888,Demigod,11-6-2016,none
Grimm IV,316456833931935756,Challenger,11-20-2019,none
LXY,413682093231570945,Challenger,1-14-2020,none
Ascher,396101899847204865,Explorer,3-10-2020,none
Wama,273229470037442560,Challenger,2-9-2020,none
DragonflyBaby,702324322915582032,Explorer,4-21-2020,none
LoneWolf,289585566117265410,Champion,4-19-2019,none
Angelcry,114963081301458944,Discord Admin,7-8-2017,none
Fitz,366987359377686528,Champion,2-12-2019,none
Crimshadow,199619180377538560,Challenger,1-29-2020,none
Squiddy,323143526533693440,Champion,10-5-2018,none
TheAsianJC,327892036772429826,Champion,6-4-2018,none
[Gray Sentinels] Anduin Kayvaan,185201040411459585,Friend,11-14-2019,none
jsb2,190160066064809985,Demigod,6-8-2016,none
Mitchell,481811540828487695,Champion,3-16-2019,none
KrYDeX,153690798850965504,Explorer,3-1-2020,none
Dot,275128112935731202,Explorer,4-6-2020,none
[Enveus] DA,151155777116045312,Friend,5-4-2018,none
Juice,416759346559713281,Guardian,5-17-2019,none
Mavin,111578051439013888,Champion,3-29-2019,none
myrox,138780259569893376,Avatar,8-29-2017,none
Noxtail,181378726930415616,Champion,7-25-2018,none
Yys,192805144990187520,Challenger,12-12-2019,none
Jett,223342378944167936,Guardian,7-25-2019,none
SPGamer00,222452458759258112,Demigod,12-16-2016,none
Fade,138414862756741121,Demigod,5-7-2016,none
jp,192459840545751040,Explorer,4-9-2020,none
LexLocke,192065720731959297,Champion,9-23-2018,none
DerWeasel,652578636578160651,Explorer,3-9-2020,none
Bard_of_Carlinville,468835957907652668,Guardian,6-11-2019,none
Єöl,147677030228426752,Challenger,10-31-2019,none
Chosenknight,214904425662119936,Explorer,4-7-2020,none
Grizzly,421829330285363201,Champion,12-1-2018,none
Valvs0tv,462048404978008084,Champion,10-6-2018,none
⚓ Mednar ⚓,111198239419584512,Demigod,4-6-2016,none
Allekatrase,159448467414974464,Demigod,12-30-2016,none
Vulkan™,521851823061991435,Challenger,11-15-2019,none
Hawken,166723345629446144,Champion,2-21-2020,none
HotBEARjuice,230872975098904576,Demigod,11-26-2016,none
Triangle Tiddy,238114189581746178,Challenger,11-12-2019,none
Dmitch,137004570999128065,Demigod,7-2-2018,none
Geophage,267724198741278720,Champion,3-16-2019,none
DrDemenz,122199456111263747,Explorer,3-26-2020,none
Kitten,149179637069643776,Challenger,2-23-2020,none
Dexta,288075704674025493,Champion,9-21-2018,none
Dr.Spaghetti,260226954261823498,Champion,9-29-2018,none
Jenilya,125413686977232896,Champion,3-9-2019,none
Oatmeal + Oatheal,121826566828326912,Guardian,10-13-2019,none
Belewyn,240971945204645888,Friend,10-2-2019,none
BondOfBlood,333048638974590986,Champion,7-28-2018,none
Benality,129445094406356993,Friend,10-30-2019,none
Higuy333,146610391747788800,Challenger,2-11-2020,none
Kastrand,206485421566197763,Avatar,11-21-2019,none
Truth Eternal,111181251095887872,Discord Admin,3-3-2016,none
Wannawhisp,250063443703365632,Champion,11-4-2018,none
Sypower,153690479001731074,Guardian,8-19-2019,none
Flashboy6601,137989033748987905,Challenger,1-26-2020,none
SgllsTaklnDux,328892073170305024,Champion,1-27-2019,none
Commander_Hahn,576439520875249694,Guardian,5-10-2019,none
Whispering Warlock (Joe),196728157578067969,Avatar,11-30-2017,none
Viener,172512490339565569,Challenger,12-14-2019,none
[Enveus] J-Oni,267161680197320714,Friend,5-17-2019,none
[Stormborn] Cj_Killer77,419007938456322058,Friend,5-26-2019,none
Forgotten LmGz,176097316690722819,Explorer,4-17-2020,none
Sojiro,307250108460957698,Champion,11-9-2018,none
天皇Deymons,373129842570428418,Visitor,4-8-2020,none
Gil-galad,312755827528302602,Friend,7-30-2018,none
m_dekay,306166995898859530,Champion,11-13-2018,none
kitty,158128611268755456,Avatar,4-28-2017,none
filian,185860809048588288,Champion,12-4-2018,none
[Acolytes] Eragus,99867137874624512,Friend,7-25-2017,none
Wolfson,401881073656528896,Champion,1-5-2019,none
hampton92,579725998833008642,Guardian,5-19-2019,none
Omar7952,136670000680271873,Demigod,9-24-2016,none
thumped,226145449260744704,Explorer,4-18-2020,none
Gonk,185971505702633473,Avatar,5-13-2017,none
FuZzY nUgGeTs,486764183963172864,Champion,9-5-2018,none
Goldberry,570394799849603072,Champion,4-23-2019,none
[HoU] Narys,150595453916938240,Friend,4-1-2020,none
BRANDONISGAY,188803889989025792,Champion,3-15-2019,none
[Stormborn] Kumary,156922879735234560,Friend,7-31-2019,none
Samzaki,287988725835759618,Champion,9-22-2018,none
Guiltyspark91,188528466579292161,Avatar,10-25-2017,none
Hoax,338054164112211971,Champion,1-15-2019,none
[SotS] Khazzid,222419517253484544,Friend,12-4-2018,none
Real_Weeb_MC,136526804318945280,Demigod,3-24-2016,none
Terrydafox,185012987646443521,Champion,4-13-2019,none
Mr. Skattor,185930253108117504,Champion,3-12-2019,none
DexDearborn,189936707867508736,Demigod,6-7-2016,none
GoldBeast96,380129823453872129,Champion,1-21-2019,none
siegward,444198318210285579,Guardian,10-19-2019,none
trbogti,362200686944845824,Champion,8-29-2018,none
Rain 🦁,133417635462250496,Demigod,6-19-2017,none
Grenman,140618574208172032,Avatar,8-14-2017,none
nathan,283701587631669250,Champion,2-8-2019,none
Teckadan,487668771604135959,Champion,4-11-2019,none
Ghost23467890,137710267613184001,Demigod,12-3-2018,none
Frrrrrrrr (Esoteric Alien/9734),183042134868230144,Guardian,9-25-2019,none
Miskabel,251716752130441216,Champion,9-26-2018,none
Fade,650983700401750027,Explorer,4-19-2020,none
MeBeSinner,125040574788009985,Demigod,3-24-2016,none
Damien Gray,191630363712290816,Champion,8-8-2018,none
Nymphomancer,222515854607253505,Champion,9-30-2018,none
Bearded WoIf,483319977114599426,Avatar,9-27-2018,none
whiskeytango92,393586257479073813,Guardian,4-28-2019,none
Apoyyo,201174213334138880,Demigod,1-10-2017,none
jordansmith23,486435121554259969,Champion,9-4-2018,none
SHOCK,114954222029504513,Avatar,11-26-2017,none
ForsakenKing20,326473830573015040,Guardian,6-6-2019,none
Ulric_StiltWolf,297468947710869528,Explorer,3-15-2020,none
JAKnight,133054414976974848,Demigod,3-29-2016,none
GOAT,296333850995458049,Champion,9-4-2018,none
Hurco,150393888790544384,Champion,9-24-2018,none
Nicho/MistyHunter,253451574523854848,Champion,9-26-2018,none
Keldarris,242469518977400843,Guardian,4-27-2019,none
Kush Coma ("Oy"),121835846025478144,Challenger,11-2-2019,none
Flatline,231963243646681089,Champion,11-11-2018,none
[Crem] Cyneric,118847276662784000,Friend,6-23-2017,none
Zorr,267716123472953347,Challenger,2-22-2020,none
Deplorable Danny,41951492533387264,Demigod,9-10-2016,none
Kaotic,182598294457942017,Guardian,7-16-2019,none
Csquared,228373154542649344,Demigod,9-24-2016,none
[Ronin] Fire Frenzy,292385317238079488,Friend,12-5-2017,none
Rusty_Knails (Sassie),352399749263130624,Challenger,10-31-2019,none
